Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Show Name,Tone Mode,CTCSS,DCS,Tx Power,Skip,Step,Clock Shift,Bank 1,Bank 2,Bank 3,Bank 4,Bank 5,Bank 6,Bank 7,Bank 8,Bank 9,Bank 10,Comment,Tx Narrow,Pager Enable,
102,463.05000,146.41500, ,Split,Auto,MEDNET,On,None,100.0 Hz,023,Low,Skip,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Inter-Hospital Communication,Off,Off,
103,151.10000,146.41500, ,Split,Auto,ROADS,On,None,100.0 Hz,023,Low,Off,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,SANTA CRUZ COUNTY ROADS,Off,Off,
104,155.05500,146.41500, ,Split,Auto,ANIMAL,On,None,100.0 Hz,023,Low,Off,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,SANTA CRUZ COUNTY ANIMAL CONTROL,Off,Off,
106,145.47000,144.87000,600 kHz,Minus,Auto,K6JE,On,Tone,94.8 Hz,023,High,Off,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,MONTEREY ARES - 1,Off,Off,
107,146.97000,146.37000,600 kHz,Minus,Auto,K6LY,On,Tone,94.8 Hz,023,High,Off,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,MONTEREY ARES - 2,Off,Off,
108,146.73000,146.13000,600 kHz,Minus,Auto,W6FM,On,Tone,127.3 Hz,023,High,Off,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,MONTEREY ARES - 3,Off,Off,
109,147.27000,147.87000,600 kHz,Plus,Auto,ECE 2M,On,Tone,94.8 Hz,023,High,Skip,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,MONTEREY ARES - 4 + SALINAS VALLEY REPEATER GROUP,Off,Off,
110,147.18000,147.78000,600 kHz,Plus,Auto,W6WLS,On,Tone,94.8 Hz,023,High,Skip,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,SALINAS VALLEY REPEATER GROUP,Off,Off,
112,147.31500,147.91500,600 kHz,Plus,Auto,N6SBC1,On,Tone,94.8 Hz,023,High,Off,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,SAN BENITO ARES: HOLLISTER,Off,Off,
113,145.41000,144.81000,600 kHz,Minus,Auto,N6SBC2,On,Tone,118.8 Hz,023,High,Off,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,SAN BENITO ARES: CALLMTN PANOCHE,Off,Off,
114,146.62500,146.02500,600 kHz,Minus,Auto,N6SBC3,On,Tone,94.8 Hz,023,High,Off,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,SAN BENITO ARES: SOUTH COUNTY,Off,Off,
116,147.36000,147.96000,600 kHz,Plus,Auto,W6TI,On,Tone,110.9 Hz,023,High,Off,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,SANTA CLARA ARES Message Net,Off,Off,
117,145.45000,144.85000,600 kHz,Minus,Auto,K6FB,On,Tone,100.0 Hz,023,High,Off,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,SANTA CLARA ARES Message Net Alternate - K6FB (Linked),Off,Off,
118,442.57500,447.57500,5.00 MHz,Plus,Auto,K6FB_7,On,Tone,100.0 Hz,023,High,Off,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,SANTA CLARA ARES Message Net Alternate - K6FB (Linked),Off,Off,
119,442.50000,447.50000,5.00 MHz,Plus,Auto,W6GGF7,On,Tone,100.0 Hz,023,High,Off,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,SANTA CLARA ARES Command,Off,Off,
120,443.27500,448.27500,5.00 MHz,Plus,Auto,K6SNY,On,Tone,107.2 Hz,023,High,Off,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,SANTA CLARA ARES Command Alt/Resource Alt,Off,Off,
121,146.11500,146.71500,600 kHz,Plus,Auto,AA6BT,On,Tone,100.0 Hz,023,High,Off,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,SANTA CLARA ARES Resource Net Primary,Off,Off,
122,145.27000,144.67000,600 kHz,Minus,Auto,W6ASH,On,Tone,100.0 Hz,023,High,Off,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,SANTA CLARA ARES Resource Net North,Off,Off,
123,440.80000,445.80000,5.00 MHz,Plus,Auto,W6ASH7,On,Tone,100.0 Hz,023,High,Off,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,SANTA CLARA ARES Resource Net North Alternate,Off,Off,
124,444.62500,449.62500,5.00 MHz,Plus,Auto,N6NAC,On,Tone,110.9 Hz,023,High,Off,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,SANTA CLARA ARES Resource Net South,Off,Off,
125,145.23000,144.63000,600 kHz,Minus,Auto,N6NFI,On,Tone,100.0 Hz,023,High,Off,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,SANTA CLARA ARES Hospital Net,Off,Off,
126,446.00000,446.00000, ,Simplex,Auto,CALL70,On,None,94.8 Hz,023,High,Off,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,NATIONAL CALLING - 70CM,Off,Off,
127,146.52000,146.52000, ,Simplex,Auto,CALL2M,On,None,100.0 Hz,023,High,Off,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,NATIONAL CALLING - 2M,Off,Off,
